zona,grupo_uso,subgrupo,permissao,condicionante_ref,base_legal
ZPR 1,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,R1,,N,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,R1,,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,R1,,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,R2,R2-01,S,,Lei nº 9.148/2016 — Quadro 10
