classe_via,grupo_uso,condicoes,base_legal
VP,R1,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,R1,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,R1,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,R1,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,R1,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,R1,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,R1,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,R2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,R2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,R2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,R2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,R2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,R2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,R2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,R2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,R2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,R2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,R2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,R2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,R2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,R2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,R3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,R3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,R3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,R3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,R3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,R3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,R3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,R3-02,Não,Lei nº 9.148/2016 — Quadro 11A
VL,R3-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,R3-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,R3-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,R3-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,R3-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,R3-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,R3-03,Não,Lei nº 9.148/2016 — Quadro 11A
VL,R3-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,R3-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,R3-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,R3-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,R3-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,R3-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,EHIS,Não,Lei nº 9.148/2016 — Quadro 11A
VL,EHIS,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,EHIS,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,EHIS,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,EHIS,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,EHIS,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,EHIS,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,EHMP,Não,Lei nº 9.148/2016 — Quadro 11A
VL,EHMP,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,EHMP,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,EHMP,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,EHMP,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,EHMP,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,EHMP,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nRa-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nRa-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nRa-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nRa-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nRa-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nRa-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nRa-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nRa-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nRa-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nRa-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nRa-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nRa-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nRa-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nRa-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nRa-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nRa-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nRa-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nRa-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nRa-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nRa-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nRa-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nRa-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nRa-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nRa-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
