cnae,grupo,subgrupo,area_min,area_max,observacao
0111-3/01,nRa,nRa-02,0,,08A.02.03
0111-3/02,nRa,nRa-02,0,,08A.02.03
0111-3/03,nRa,nRa-02,0,,08A.02.03
0111-3/99,nRa,nRa-02,0,,08A.02.03
0112-1/01,nRa,nRa-02,0,,08A.02.03
0112-1/02,nRa,nRa-02,0,,08A.02.03
0112-1/99,nRa,nRa-02,0,,08A.02.03
0113-0/00,nRa,nRa-02,0,,08A.02.03
0114-8/00,nRa,nRa-02,0,,08A.02.03
0115-6/00,nRa,nRa-02,0,,08A.02.03
0116-4/01,nRa,nRa-02,0,,08A.02.03
0116-4/02,nRa,nRa-02,0,,08A.02.03
0116-4/03,nRa,nRa-02,0,,08A.02.03
0116-4/99,nRa,nRa-02,0,,08A.02.03
0119-9/01,nRa,nRa-02,0,,08A.02.03
0119-9/02,nRa,nRa-02,0,,08A.02.03
0119-9/03,nRa,nRa-02,0,,08A.02.03
0119-9/04,nRa,nRa-02,0,,08A.02.03
0119-9/05,nRa,nRa-02,0,,08A.02.03
0119-9/06,nRa,nRa-02,0,,08A.02.03
0119-9/07,nRa,nRa-02,0,,08A.02.03
0119-9/08,nRa,nRa-02,0,,08A.02.03
0119-9/09,nRa,nRa-02,0,,08A.02.03
0119-9/99,nRa,nRa-02,0,,08A.02.03
0121-1/01,nRa,nRa-02,0,,08A.02.03
0121-1/02,nRa,nRa-02,0,,08A.02.03
0122-9/00,nRa,nRa-02,0,,08A.02.03
0131-8/00,nRa,nRa-02,0,,08A.02.03
0132-6/00,nRa,nRa-02,0,,08A.02.03
0133-4/01,nRa,nRa-02,0,,08A.02.03
0133-4/02,nRa,nRa-02,0,,08A.02.03
0133-4/03,nRa,nRa-02,0,,08A.02.03
0133-4/04,nRa,nRa-02,0,,08A.02.03
0133-4/05,nRa,nRa-02,0,,08A.02.03
0133-4/06,nRa,nRa-02,0,,08A.02.03
0133-4/07,nRa,nRa-02,0,,08A.02.03
0133-4/08,nRa,nRa-02,0,,08A.02.03
0133-4/09,nRa,nRa-02,0,,08A.02.03
0133-4/10,nRa,nRa-02,0,,08A.02.03
0133-4/11,nRa,nRa-02,0,,08A.02.03
0133-4/99,nRa,nRa-02,0,,08A.02.03
0134-2/00,nRa,nRa-02,0,,08A.02.03
0135-1/00,nRa,nRa-02,0,,08A.02.03
0139-3/01,nRa,nRa-02,0,,08A.02.03
0139-3/02,nRa,nRa-02,0,,08A.02.03
0139-3/03,nRa,nRa-02,0,,08A.02.03
0139-3/04,nRa,nRa-02,0,,08A.02.03
0139-3/05,nRa,nRa-02,0,,08A.02.03
0139-3/06,nRa,nRa-02,0,,08A.02.03
0139-3/99,nRa,nRa-02,0,,08A.02.03
0141-5/01,nRa,nRa-02,0,,08A.02.03
0141-5/02,nRa,nRa-02,0,,08A.02.03
0142-3/00,nRa,nRa-02,0,,08A.02.03
0151-2/01,nRa,nRa-02,0,,08A.02.03
0151-2/02,nRa,nRa-02,0,,08A.02.03
0151-2/03,nRa,nRa-02,0,,08A.02.03
0152-1/01,nRa,nRa-02,0,,08A.02.03
0152-1/02,nRa,nRa-02,0,,08A.02.03
0152-1/03,nRa,nRa-02,0,,08A.02.03
0153-9/01,nRa,nRa-02,0,,08A.02.03
0153-9/02,nRa,nRa-02,0,,08A.02.03
0154-7/00,nRa,nRa-02,0,,08A.02.03
0155-5/01,nRa,nRa-02,0,,08A.02.03
0155-5/02,nRa,nRa-02,0,,08A.02.03
0155-5/03,nRa,nRa-02,0,,08A.02.03
0155-5/04,nRa,nRa-02,0,,08A.02.03
0155-5/05,nRa,nRa-02,0,,08A.02.03
0159-8/01,nRa,nRa-02,0,,08A.02.03
0159-8/02,nRa,nRa-02,0,,08A.02.03
0159-8/03,nRa,nRa-02,0,,08A.02.03
0159-8/04,nRa,nRa-02,0,,08A.02.03
0159-8/99,nRa,nRa-02,0,,08A.02.03
0161-0/01,nR1,nR1-12,0,1250,07.12.13
0161-0/01,nR2,nR2-12,1250.01,,07.12.13
0161-0/02,nR1,nR1-12,0,1250,07.12.13
0161-0/02,nR2,nR2-12,1250.01,,07.12.13
0161-0/03,nR1,nR1-12,0,1250,07.12.13
0161-0/03,nR2,nR2-12,1250.01,,07.12.13
0161-0/99,nR1,nR1-08,0,500,07.08.07
0161-0/99,nR2,nR2-08,500.01,5000,07.08.07
0161-0/99,nR3,nR3-08,5000.01,,07.08.07
0162-8/01,nR1,nR1-12,0,1250,07.12.13
0162-8/01,nR2,nR2-12,1250.01,,07.12.13
0162-8/02,nR1,nR1-12,0,1250,07.12.13
0162-8/02,nR2,nR2-12,1250.01,,07.12.13
0162-8/03,nR1,nR1-12,0,1250,07.12.13
0162-8/03,nR2,nR2-12,1250.01,,07.12.13
0162-8/99,nRa,nRa-02,0,,08A.02.03
0163-6/00,nRa,nRa-02,0,,08A.02.03
0170-9/00,nR1,nR1-12,0,1250,07.12.13
0170-9/00,nR2,nR2-12,1250.01,,07.12.13
0210-1/01,nRa,nRa-02,0,,08A.02.08
0210-1/02,nRa,nRa-02,0,,08A.02.08
0210-1/03,nRa,nRa-02,0,,08A.02.08
0210-1/04,nRa,nRa-02,0,,08A.02.08
0210-1/05,nRa,nRa-02,0,,08A.02.08
0210-1/06,nRa,nRa-02,0,,08A.02.03
0210-1/07,ID2,ID2-07,0,,09.07.03
0210-1/08,ID3,ID3-19,0,,09.19.19
0210-1/09,ID2,ID2-07,0,,09.07.02
0210-1/99,ID2,ID2-07,0,,09.07.03
0220-9/01,ID2,ID2-07,0,,09.07.03
0220-9/02,ID3,ID3-19,0,,09.19.19
0220-9/03,nR1,nR1-12,0,1250,07.12.13
0220-9/03,nR2,nR2-12,1250.01,,07.12.13
0220-9/04,nR1,nR1-12,0,1250,07.12.13
0220-9/04,nR2,nR2-12,1250.01,,07.12.13
0220-9/05,nR1,nR1-12,0,1250,07.12.13
0220-9/05,nR2,nR2-12,1250.01,,07.12.13
0220-9/06,nR1,nR1-12,0,1250,07.12.13
0220-9/06,nR2,nR2-12,1250.01,,07.12.13
0220-9/99,nR1,nR1-12,0,1250,07.12.13
0220-9/99,nR2,nR2-12,1250.01,,07.12.13
0230-6/00,nR1,nR1-12,0,1250,07.12.13
