cnae,grupo,subgrupo,area_min,area_max,observacao
1091-1/02,nR3,nR3-10,0,,
4520-0/01,nR2,nR2-06,0,,
4530-7/03,nR1,nR1-02,0,500,
4530-7/03,nR2,nR2-02,500.01,,
4711-3/01,nR2,nR2-01,0,,
4711-3/02,nR2,nR2-01,0,1000,
4711-3/02,nR3,nR3-01,1000.01,,
4712-1/00,nR1,nR1-01,0,350,
4712-1/00,nR2,nR2-01,350.01,,
4713-0/02,nR1,nR1-02,0,350,
4713-0/02,nR2,nR2-02,350.01,,
4721-1/02,nR1,nR1-01,0,250,
4721-1/02,nR2,nR2-01,250.01,,
4731-8/00,nR3,nR3-08,0,,
4744-0/05,nR2,nR2-09,0,500,
4744-0/05,nR3,nR3-09,500.01,,
4771-7/01,nR1,nR1-05,0,300,
4771-7/01,nR2,nR2-05,300.01,,
4772-5/00,nR1,nR1-02,0,,
4781-4/00,nR1,nR1-02,0,350,
4781-4/00,nR2,nR2-02,350.01,,
5510-8/01,nR2,nR2-07,0,,
5611-2/01,nR1,nR1-03,0,250,
5611-2/01,nR2,nR2-03,250.01,,
5611-2/03,nR1,nR1-03,0,250,
5611-2/03,nR2,nR2-03,250.01,,
5611-2/04,nR1,nR1-03,0,150,
5611-2/04,nR2,nR2-03,150.01,,
5611-2/05,nR2,nR2-03,0,,
7020-4/00,nR1,nR1-12,0,1250,
7020-4/00,nR2,nR2-12,1250.01,,
8211-3/00,nR1,nR1-12,0,1250,
8211-3/00,nR2,nR2-12,1250.01,,
8630-5/01,nR1,nR1-05,0,500,
8630-5/01,nR2,nR2-05,500.01,,
9313-1/00,nR1,nR1-11,0,500,
9313-1/00,nR2,nR2-11,500.01,,
9602-5/01,nR1,nR1-04,0,,
9602-5/02,nR1,nR1-04,0,300,
9602-5/02,nR2,nR2-04,300.01,,
