cnae,denominacao,risco,regra_atualizacao,codigo_louos,denominacao_louos,enquadramento_texto,enquadramento1,ate_m2_1,enquadramento2,ate_m2_2,enquadramento3,acima_m2,codigo_tll,especificacao_tll,classificacao
0111-3/01,Cultivo de arroz,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0111-3/01,Cultivo de arroz,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0111-3/02,Cultivo de milho,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0111-3/02,Cultivo de milho,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0111-3/03,Cultivo de trigo,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0111-3/03,Cultivo de trigo,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0111-3/99,Cultivo de outros cereais não especificados anteriormente,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0111-3/99,Cultivo de outros cereais não especificados anteriormente,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0112-1/01,Cultivo de algodão herbáceo,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0112-1/01,Cultivo de algodão herbáceo,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0112-1/02,Cultivo de juta,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0112-1/02,Cultivo de juta,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0113-0/00,Cultivo de cana-de-açúcar,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0113-0/00,Cultivo de cana-de-açúcar,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0114-8/00,Cultivo de fumo,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0114-8/00,Cultivo de fumo,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0115-6/00,Cultivo de soja,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0115-6/00,Cultivo de soja,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0116-4/01,Cultivo de amendoim,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0116-4/01,Cultivo de amendoim,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0116-4/02,Cultivo de girassol,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0116-4/02,Cultivo de girassol,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0116-4/03,Cultivo de mamona,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0116-4/03,Cultivo de mamona,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0119-9/01,Cultivo de abacaxi,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0119-9/01,Cultivo de abacaxi,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.03,Agropecuária,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0119-9/02,Cultivo de alho,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
