cnae,risco,codigo_louos,enquadramento1,perguntas,regras,condicionantes
0111-3/01,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0111-3/01,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0111-3/02,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0111-3/02,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0111-3/03,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0111-3/03,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0111-3/99,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0111-3/99,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0112-1/01,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0112-1/01,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0112-1/02,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0112-1/02,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0112-1/99,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0112-1/99,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0113-0/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0113-0/00,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0114-8/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0114-8/00,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0115-6/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0115-6/00,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0116-4/01,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0116-4/01,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0116-4/02,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0116-4/02,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0116-4/03,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0116-4/03,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0116-4/99,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0116-4/99,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0119-9/01,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0119-9/01,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0119-9/02,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0119-9/02,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0119-9/03,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0119-9/03,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0119-9/04,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0119-9/04,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0119-9/05,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0119-9/05,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0119-9/06,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0119-9/06,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0119-9/07,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0119-9/07,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0119-9/08,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0119-9/08,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0119-9/09,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0119-9/09,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0119-9/99,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0119-9/99,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0121-1/01,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0121-1/01,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0121-1/02,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0121-1/02,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0122-9/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0122-9/00,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0131-8/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0131-8/00,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0132-6/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0132-6/00,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0133-4/01,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
0133-4/01,A SER DEFINIDO PELA CNLU,08A.02.03,nRa-02,11,5,1
0133-4/02,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
