numero,texto,referencia,observacao
1,Identifique entre as opções a seguir os serviços ou as atividades que serão prestado(a)s/desenvolvido (a)s:,"CNAE 2610-8/00, CNAE 2621-3/00, CNAE 2740-6/02, CNAE 3250-7/05, CNAE 3299-0/99, CNAE 3311-2/00, CNAE 3314-7/10, CNAE 3511-5/01, CNAE 3701-1/00, CNAE 3831-9/01, CNAE 3831-9/99, CNAE 3832-7/00, CNAE 3839-4/99, CNAE 5612-1/00, CNAE 6010-1/00, CNAE 7319-0/99, CNAE 8230-0/01, CNAE 9329-8/99, CNAE 9491-0/00, CNAE 9609-2/05, CNAE 9609-2/07, CNAE 9609-2/99",
2,"A atividade será desenvolvida no local?

1. Sim, a atividade será desenvolvida no local.
2. Não, no local funcionará  o escritório da empresa.","Atividades com modalidade artesanal: 
CNAE 1020-1/01, CNAE 1020-1/02, CNAE 1031-7/00, CNAE 1032-5/01, CNAE 1032-5/99, CNAE 1033-3/01, CNAE 1033-3/02, CNAE 1051-1/00, CNAE 1052-0/00, CNAE 1053-8/00, CNAE 1061-9/02, CNAE 1063-5/00, CNAE 1064-3/00, CNAE 1066-0/00, CNAE 1091-1/02, CNAE 1092-9/00, CNAE 1093-7/01, CNAE 1093-7/02, CNAE 1094-5/00, CNAE 1095-3/00, CNAE 1096-1/00, CNAE 1099-6/04, CNAE 1099-6/05, CNAE 1111-9/01, CNAE 1111-9/02, CNAE 1112-7/00, CNAE 1113-5/01, CNAE 1113-5/02,  CNAE 1122-4/02, CNAE 1321-9/00, CNAE 1322-7/00, CNAE 1323-5/00, CNAE 1340-5/01, CNAE 1340-5/99, CNAE 1351-1/00, CNAE 1352-9/00, CNAE 1353-7/00, CNAE 1354-5/00, CNAE 1359-6/00, CNAE 1411-8/01, CNAE 1411-8/02, CNAE 1412-6/01, CNAE 1412-6/02, CNAE 1412-6/03, CNAE 1413-4/01, CNAE 1413-4/02, CNAE 1413-4/03, CNAE 1414-2/00, CNAE 1421-5/00, CNAE 1422-3/00, CNAE 1521-1/00, CNAE 1529-7/00, CNAE 1531-9/01, CNAE 1531-9/02, CNAE 1533-5/00, CNAE 1539-4/00, CNAE 1540-8/00,  CNAE 1622-6/02, CNAE 1622-6/99, CNAE 1623-4/00, CNAE 3211-6/01, CNAE 3211-6/02, CNAE 3211-6/03, CNAE 3212-4/00, CNAE 3220-5/00,  CNAE 3240-0/02, CNAE 3240-0/03, CNAE 3240-0/99",
3,"EXIBIR APENAS SE RESPONDIDO ""SIM"" na pergunta 2:

A atividade será desenvolvida de modo artesanal?
1. Sim 
2. Não","Atividades com modalidade artesanal: 
CNAE 1020-1/01, CNAE 1020-1/02, CNAE 1031-7/00, CNAE 1032-5/01, CNAE 1032-5/99, CNAE 1033-3/01, CNAE 1033-3/02, CNAE 1051-1/00, CNAE 1052-0/00, CNAE 1053-8/00, CNAE 1061-9/02, CNAE 1063-5/00, CNAE 1064-3/00, CNAE 1066-0/00, CNAE 1091-1/02, CNAE 1092-9/00, CNAE 1093-7/01, CNAE 1093-7/02, CNAE 1094-5/00, CNAE 1095-3/00, CNAE 1096-1/00, CNAE 1099-6/04, CNAE 1099-6/05, CNAE 1111-9/01, CNAE 1111-9/02, CNAE 1112-7/00, CNAE 1113-5/01, CNAE 1113-5/02,  CNAE 1122-4/02, CNAE 1321-9/00, CNAE 1322-7/00, CNAE 1323-5/00, CNAE 1340-5/01, CNAE 1340-5/99, CNAE 1351-1/00, CNAE 1352-9/00, CNAE 1353-7/00, CNAE 1354-5/00, CNAE 1359-6/00, CNAE 1411-8/01, CNAE 1411-8/02, CNAE 1412-6/01, CNAE 1412-6/02, CNAE 1412-6/03, CNAE 1413-4/01, CNAE 1413-4/02, CNAE 1413-4/03, CNAE 1414-2/00, CNAE 1421-5/00, CNAE 1422-3/00, CNAE 1521-1/00, CNAE 1529-7/00, CNAE 1531-9/01, CNAE 1531-9/02, CNAE 1533-5/00, CNAE 1539-4/00, CNAE 1540-8/00,  CNAE 1622-6/02, CNAE 1622-6/99, CNAE 1623-4/00, CNAE 3211-6/01, CNAE 3211-6/02, CNAE 3211-6/03, CNAE 3212-4/00, CNAE 3220-5/00,  CNAE 3240-0/02, CNAE 3240-0/03, CNAE 3240-0/99",
4,"O estabelecimento prestará o serviço de escritório virtual ou centro de negócios (sede de escritório virtual)?

1. Sim
2. Não",CNAE 8211-3/00,Atualização da pergunta em 14/08/2026
5,"Exibir apenas SE RESPONDIDO ""NÃO"" na pergunta 4:

Caso o estabelecimento não seja uma sede de escritório virtual, selecione quais das atividades abaixo serão exercidas no local:

1. Serviços de arquivamento de documentos; 
2. Serviços de organização de arquivo de documentos no local do contratante 
3. Serviços de organização de arquivos; 
4. Serviços de preparo de folha de pagamento;
5. Coworking",CNAE 8211-3/00,Atualização da pergunta em 14/08/2026
6,"Trata-se de  Serviço de administração terceirizada de penitenciárias? 
1. Sim
2. Não",CNAE 8423-0/00,
7,"Trata-se de Órgão Público? 
1. Sim, trata-se de órgão da Administração pública.  
2. Não.","8411-6/00,  8412-4/00,  8413-2/00, 8421-3/00, 8422-1/00, 8424-8/00, 8425-6/00,8430-2/00",
8,"A atividade será desenvolvida no local? 
1. Sim, a atividade será desenvolvida no local.
2. Não, no local funcionará  o escritório da empresa.",CNAE 9319-1/99,2025-04-07
9,"Exibir apenas SE RESPONDIDO ""SIM"" na pergunta 8:

Identifique entre as opções a seguir os serviços ou as atividades que serão prestados/desenvolvidas:
 
1. Atividades de atletas esportivos por conta própria: jogadores de futebol, vôlei, basquete, profissionais de e-sports (gamers); pilotos profissionais de automobilismo;
2. Serviços de júris, jurados esportivos, árbitros e juízes esportivos por conta própria;
3. Atividades de treinadores esportivos por conta própria
4. Serviços de cronometragem para competições esportivas
5.Operação de estábulos de hipódromos; atividade de pesca esportiva e de lazer, exploração de caça esportiva, clube de alpinismo  
6. Aluguel de baias, picadeiros e semoventes",CNAE 9319-1/99,2025-04-07
10,"Identifique entre as opções a seguir os serviço ou as atividades que serão prestados/desenvolvidas:

1. Comércio varejista de artigos religiosos e de culto ou de artigos esotéricos 
2. Comércio varejista de artigos eróticos (sex shop) 
3. Comércio varejista de artigos funerários 
4. Comércio varejista de artigos para festas e/ou fantasias 
5. Comércio varejista de plantas, flores e frutos artificiais para ornamentação 
6. Comércio varejista de perucas 
7. Comércio varejista de artigos para bebê 
8. Comércio varejista de rede de dormir, sacos de lixo, espanadores, escovas, lanternas, velas 
(cera) para iluminação 
9. Comércio varejista de carvão e lenha 
10. Comércio varejista de extintores (exceto para veículos) e/ou de cargas e preparados para 
incêndio 
11. Comércio varejista de cartões telefônicos 
12. Comércio varejista de molduras e quadros 
13. Comércio varejista de retroprojetores 
14. Comércio varejista de quinquilharias para uso agrícola 
15. Comércio varejista de embalagens em geral (exceto de papel e papelão) 
16. Comércio varejista de placas e plaquetas para veículos",CNAE 4789-0/99,
