regra,pergunta,resposta,faixa,tipo_dirige,codigo_louos,fluxo
1,11,NÃO,ate_1250,,07.12.13,expresso
1,11,NÃO,acima_1250,,07.12.13,expresso
1,11,SIM,,1,,semiexpresso
1,11,SIM,ate_1250,,,semiexpresso
1,11,SIM,acima_1250,,,semiexpresso
1,11,NÃO,,1,07.12.13,semiexpresso
2,2,NÃO,ate_1250,,07.12.13,expresso
2,2,NÃO,acima_1250,,07.12.13,expresso
2,2,NÃO,,1,07.12.13,semiexpresso
3,3,SIM,ate_1250,,,expresso
3,3,SIM,acima_1250,,,expresso
3,3,NÃO,,1,,semiexpresso
3,3,SIM,,1,,semiexpresso
3,3,NÃO,ate_1250,,,semiexpresso
3,3,NÃO,acima_1250,,,semiexpresso
4,,NÃO,ate_1250,,07.12.13,expresso
4,,SIM,ate_1250,,,expresso
4,,NÃO,acima_1250,,07.12.13,expresso
4,,SIM,acima_1250,,,expresso
4,,SIM,,1,,semiexpresso
4,,NÃO,,1,07.12.13,semiexpresso
5,11,NÃO,ate_1250,,07.12.13,expresso
5,11,NÃO,acima_1250,,07.12.13,expresso
5,11,SIM,,,,semiexpresso
5,11,SIM,,1,,semiexpresso
5,11,NÃO,,1,07.12.13,semiexpresso
6,2,NÃO,ate_1250,,07.12.13,expresso
6,2,NÃO,acima_1250,,07.12.13,expresso
6,2,NÃO,,1,07.12.13,semiexpresso
7,3,SIM,ate_1250,,07.09.02,expresso
7,3,SIM,acima_1250,,07.09.02,expresso
7,3,SIM,,1,07.09.02,semiexpresso
7,3,NÃO,,1,,semiexpresso
7,3,NÃO,ate_1250,,,semiexpresso
7,3,NÃO,acima_1250,,,semiexpresso
8,,NÃO,ate_1250,,07.12.13,expresso
8,,SIM,ate_1250,,,expresso
8,,NÃO,acima_1250,,07.12.13,expresso
8,,SIM,acima_1250,,,expresso
8,,NÃO,,1,07.12.13,semiexpresso
8,,SIM,,1,07.12.13,semiexpresso
8,,SIM,,1,,semiexpresso
9,,NÃO,,1,07.12.13,semiexpresso
9,,NÃO,,,,semiexpresso
10,,SIM,ate_1250,,07.12.13,expresso
10,,NÃO,ate_1250,,07.12.13,expresso
10,,SIM,acima_1250,,07.12.13,expresso
10,,NÃO,acima_1250,,07.12.13,expresso
10,,SIM,,1,07.12.13,semiexpresso
10,,NÃO,,1,07.12.13,semiexpresso
11,15,NÃO,ate_1250,,07.12.13,expresso
11,15,NÃO,acima_1250,,07.12.13,expresso
11,15,NÃO,,1,07.12.13,semiexpresso
12,15,SIM,ate_1250,,07.10.01,expresso
12,15,SIM,ate_1250,,07.10.07,expresso
12,15,SIM,acima_1250,,07.10.01,expresso
12,15,SIM,acima_1250,,07.10.07,expresso
12,15,SIM,,1,07.10.01,semiexpresso
12,15,SIM,,1,07.10.07,semiexpresso
13,,NÃO,ate_1250,,07.12.13,expresso
13,,NÃO,acima_1250,,07.12.13,expresso
13,,NÃO,,1,07.12.13,semiexpresso
14,,SIM,,,07.08.02,semiexpresso
15,11,NÃO,ate_1250,,07.12.13,expresso
15,11,SIM,ate_1250,,,expresso
15,11,NÃO,acima_1250,,07.12.13,expresso
15,,NÃO,,1,07.12.13,semiexpresso
15,,SIM,,,,semiexpresso
15,11,SIM,acima_1250,,,semiexpresso
16,,NÃO,,1,07.12.13,semiexpresso
16,,SIM,,,,semiexpresso
17,11,NÃO,,1,07.12.13,semiexpresso
18,2,NÃO,ate_1250,,07.12.13,expresso
18,2,NÃO,acima_1250,,07.12.13,expresso
18,2,NÃO,,1,07.12.13,semiexpresso
19,3,SIM,ate_1250,,,expresso
19,3,SIM,acima_1250,,,expresso
19,3,SIM,,1,,semiexpresso
19,3,NÃO,ate_1250,,,semiexpresso
19,3,NÃO,acima_1250,,,semiexpresso
20,,NÃO,ate_1250,,07.12.13,expresso
20,,SIM,ate_1250,,,expresso
20,,SIM,acima_1250,,,expresso
20,,NÃO,acima_1250,,07.12.13,expresso
20,,SIM,,,,semiexpresso
20,,NÃO,,1,07.12.13,semiexpresso
21,,NÃO,,,07.12.13,semiexpresso
21,,SIM,,,,semiexpresso
22,,NÃO,ate_1250,,07.12.13,expresso
22,,NÃO,,1,,semiexpresso
22,,SIM,,1,,semiexpresso
22,,SIM,ate_1250,,,semiexpresso
22,,NÃO,acima_1250,,,semiexpresso
22,,SIM,acima_1250,,,semiexpresso
23,,NÃO,ate_1250,,07.12.13,expresso
23,,SIM,,,,expresso
23,,NÃO,acima_1250,,07.12.13,expresso
23,,SIM,ate_1250,,,expresso
23,,SIM,acima_1250,,,expresso
23,,NÃO,,1,07.12.13,semiexpresso
23,,SIM,,1,,semiexpresso
24,2,NÃO,ate_1250,,07.12.13,expresso
24,2,NÃO,acima_1250,,07.12.13,expresso
25,3,SIM,ate_1250,,07.09.02,expresso
25,3,SIM,acima_1250,,07.09.02,expresso
25,3,SIM,,1,07.09.02,semiexpresso
25,3,NÃO,,1,,semiexpresso
25,3,NÃO,ate_1250,,,semiexpresso
25,3,NÃO,acima_1250,,,semiexpresso
26,,NÃO,ate_1250,,07.12.13,expresso
26,,NÃO,acima_1250,,07.12.13,expresso
26,,NÃO,,1,07.12.13,semiexpresso
27,,SIM,,,07.04.06,semiexpresso
27,,SIM,,,07.04.07,semiexpresso
28,,NÃO,,,07.12.13,semiexpresso
32,11,SIM,,,07.08.04,semiexpresso
32,11,SIM,,,07.08.03,semiexpresso
32,11,NÃO,,1,07.12.13,semiexpresso
33,,NÃO,ate_1250,,07.12.13,expresso
33,,NÃO,acima_1250,,07.12.13,expresso
34,,NÃO,ate_1250,,07.12.13,expresso
34,,NÃO,acima_1250,,07.12.13,expresso
34,,NÃO,,1,07.12.13,semiexpresso
35,,SIM,,1,07.12.14,semiexpresso
35,,SIM,,,07.07.06,semiexpresso
36,,NÃO,ate_1250,,07.12.13,expresso
36,,NÃO,acima_1250,,07.12.13,expresso
36,,NÃO,,1,07.12.13,semiexpresso
44,30,NÃO,,,,semiexpresso
44,30,SIM,,,07.12.13,semiexpresso
46,,NÃO,,,07.12.13,semiexpresso
46,,SIM,,,,semiexpresso
47,,NÃO,ate_1250,,07.12.13,expresso
47,,NÃO,,1,07.12.13,semiexpresso
47,,SIM,,1,,semiexpresso
47,,NÃO,acima_1250,,07.12.13,semiexpresso
47,,SIM,ate_1250,,,semiexpresso
47,,SIM,acima_1250,,,semiexpresso
48,,NÃO,ate_1250,,07.12.13,expresso
48,,SIM,ate_1250,,,expresso
48,,NÃO,acima_1250,,07.12.13,expresso
48,,NÃO,,1,07.12.13,semiexpresso
48,,SIM,,1,,semiexpresso
48,,SIM,acima_1250,,,semiexpresso
49,,NÃO,ate_1250,,07.12.13,expresso
49,,SIM,ate_1250,,,semiexpresso
49,,SIM,acima_1250,,,semiexpresso
49,,SIM,,1,,semiexpresso
49,,NÃO,,1,07.12.13,semiexpresso
49,,NÃO,acima_1250,,07.12.13,semiexpresso
50,,SIM,ate_1250,,07.05.03,expresso
50,,NÃO,ate_1250,,07.12.13,expresso
50,,NÃO,,1,07.12.13,semiexpresso
50,,SIM,,1,,semiexpresso
50,,NÃO,acima_1250,,07.12.13,semiexpresso
50,,SIM,acima_1250,,,semiexpresso
51,2,NÃO,ate_1250,,07.12.13,expresso
51,2,NÃO,,1,07.12.13,semiexpresso
51,2,NÃO,acima_1250,,07.12.13,semiexpresso
52,3,SIM,ate_1250,,07.09.02,semiexpresso
52,3,SIM,,1,07.09.02,semiexpresso
52,3,NÃO,,1,,semiexpresso
52,3,NÃO,ate_1250,,,semiexpresso
52,3,NÃO,acima_1250,,,semiexpresso
52,3,SIM,acima_1250,,07.09.02,semiexpresso
54,31,NÃO,,1,07.12.13,semiexpresso
56,2,NÃO,ate_1250,,07.12.13,expresso
56,2,NÃO,acima_1250,,07.12.13,expresso
56,2,NÃO,,1,07.12.13,semiexpresso
57,3,SIM,ate_1250,,07.09.02,expresso
57,3,SIM,acima_1250,,07.09.02,expresso
57,3,SIM,,1,07.09.02,semiexpresso
57,3,NÃO,,1,,semiexpresso
57,3,NÃO,,,,semiexpresso
58,2,NÃO,ate_1250,,07.12.13,expresso
58,2,NÃO,acima_1250,,07.12.13,expresso
58,2,NÃO,,1,07.12.13,semiexpresso
59,3,SIM,ate_1250,,,expresso
59,3,SIM,acima_1250,,,expresso
59,3,SIM,,1,,semiexpresso
59,3,NÃO,,1,,semiexpresso
59,3,NÃO,ate_1250,,,semiexpresso
59,3,NÃO,acima_1250,,,semiexpresso
60,11,NÃO,ate_1250,,07.12.13,expresso
60,11,NÃO,acima_1250,,07.12.13,expresso
60,11,SIM,,,07.12.09,semiexpresso
60,11,SIM,,,09.06.02,semiexpresso
60,11,SIM,,1,07.12.09,semiexpresso
60,11,SIM,,1,09.06.02,semiexpresso
60,11,NÃO,,1,07.12.13,semiexpresso
27,20,SIM,,,07.04.06,expresso
