numero,tratamento,referencia
1,"Fluxo Expresso 

- Se a resposta for “NÃO” na pergunta 11 com área menor ou igual a 1.250 m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13) BAIXO RISCO

- Se a resposta for ""NÃO"" na pergunta 11 for com área superior a 1.250m², enquadrar como  “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13)  MÉDIO RISCO


Fluxo Semiexpresso

-Se a resposta for ""SIM"" na pergunta 11 e tipo de espaço “GALPÃO”, “CONTAINER”, ""EDIFICAÇÃO RESIDENCIAL"", registrar a resposta do requerente e remeter para crítica do analista. MÉDIO RISCO / ALTO RISCO SE ENQUADRADO COMO ID

- Se a resposta for ""SIM"" na pergunta 11 com área menor ou igual a 1.250 m², registrar a resposta do requerente e remeter para crítica do analista. MÉDIO RISCO / ALTO RISCO SE ENQUADRADO COMO ID

- Se a resposta for ""SIM"" na pergunta 11 com área superior a 1.250 m², registrar a resposta do requerente e remeter para crítica do analista. MÉDIO RISCO / ALTO RISCO SE ENQUADRADO COMO ID

-Se a resposta for ""NÃO"" na pergunta 11 e tipo de espaço “GALPÃO”, ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, enquadrar como  “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13) e registrar a resposta do requerente e remeter para crítica do analista.  MÉDIO RISCO","Atualizada em 21/07/2026


Atualização recente em 18/03/2024: inculsão da informação ""(Sem classificação de risco definida)"" no fluxo semiexpresso.

Quando respondido ""SIM"", e o enquadramento/ subcategoria de uso for ID, a atividade é classificado como de Alto Risco."
2,"Se a resposta for ""NÃO"" na pergunta 2, seguir os fluxos descritos abaixo:


Fluxo Expresso 

- Se a resposta for “NÃO” na pergunta 2 com área menor ou igual a 1.250m² , enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13). BAIXO RISCO

- Se a resposta for ""NÃO"" na pergunta 2 com área superior a 1.250m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13).  MÉDIO RISCO

Fluxo Semiexpresso 

-Se a resposta for “NÃO” na pergunta 2 e tipo de espaço “GALPÃO”, ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13), registrar a resposta do requerente e remeter para crítica do analista. MÉDIO RISCO","Em 02/04/2024: RECRIAÇÃO DA REGRA 3 COMO DESMEMBRAMENTO DA REGRA 2

Atualização recente em 18/03/2024: inculsão da informação ""(Sem classificação de risco definida)"" no fluxo semiexpresso.

Atualizada em 21/07/2026: revisão da classificação de risco para cada fluxo"
3,"Se a resposta for ""SIM"" na pergunta 2, exibir a pergunta 3 e seguir os fluxos descritos abaixo:

Fluxo Expresso 

- Se a resposta for “SIM” na pergunta 3 e com área menor ou igual a 1.250 m², enquadrar como 07.09.05 (Serviço de confecção sob medida e reparação de artigos de vestuário e similares: costureiro, alfaiate, bordadeiro, camiseiro, sapateiro etc) ou  07.09.09 (Confecção e pintura de faixas, placas, cartazes, confecção de artefatos de couro e pele) ou 07.09.17 (Outros serviços técnicos de confecção, manutenção e reparação não classificados) a depender da CNAE solicitada.  BAIXO RISCO

- Se a resposta for ""SIM"" na pergunta 3 e com área superior a 1.250m², registrar a resposta do requerente e remeter para crítica do analista e enquadrar como 07.09.05 (Serviço de confecção sob medida e reparação de artigos de vestuário e similares: costureiro, alfaiate, bordadeiro, camiseiro, sapateiro etc) ou  07.09.09 (Confecção e pintura de faixas, placas, cartazes, confecção de artefatos de couro e pele) ou 07.09.17 (Outros serviços técnicos de confecção, manutenção e reparação não classificados) a depender da CNAE solicitada. MÉDIO RISCO



Fluxo Semiexpresso

-Se a resposta for ""NÃO""  na pergunta 3 e tipo de espaço  “GALPÃO”, ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, registrar a resposta do requerente e remeter para crítica do analista, enquadrar como 09.05.01 ou  09.11.01  ou 09.11.02 ou 09.11.04 ou 09.11.05 ou 09.11.06 ou 09.11.07 ou 09.11.10 ou 09.11.11 ou 09.11.17 ou 09.11.19 ou 09.11.20 a depender da CNAE solicitada. ALTO RISCO

- Se a resposta for ""SIM"" na pergunta 3 e tipo de espaço  “GALPÃO”, ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, registrar a resposta do requerente e remeter para crítica do analista e e enquadrar como 07.09.05 (Serviço de confecção sob medida e reparação de artigos de vestuário e similares: costureiro, alfaiate, bordadeiro, camiseiro, sapateiro etc) ou  07.09.09 (Confecção e pintura de faixas, placas, cartazes, confecção de artefatos de couro e pele) ou 07.09.17 (Outros serviços técnicos de confecção, manutenção e reparação não classificados) a depender da CNAE solicitada. MÉDIO RISCO

- Se a resposta for “NÃO” na pergunta 3 e com área menor ou igual a 1.250 m², registrar a resposta do requerente e remeter para crítica do analista, enquadrar como 09.05.01 ou  09.11.01  ou 09.11.02 ou 09.11.04 ou 09.11.05 ou 09.11.06 ou 09.11.07 ou 09.11.10 ou 09.11.11 ou 09.11.17 ou 09.11.19 ou 09.11.20 a depender da CNAE solicitada.  ALTO RISCO

- Se a resposta for ""NÃO"" na pergunta 3 e com área superior a 1.250m², registrar a resposta do requerente e remeter para crítica do analista, enquadrar como 09.05.01 ou  09.11.01  ou 09.11.02 ou 09.11.04 ou 09.11.05 ou 09.11.06 ou 09.11.07 ou 09.11.10 ou 09.11.11 ou 09.11.17 ou 09.11.19 ou 09.11.20 a depender da CNAE solicitada. ALTO RISCO","ATUALIZADA EM 21/07/2026: DESMEMBRAMENTO DA REGRA 2

Regra para atividades que podem ser artesanal ou industrial 
Resposta ""SIM"" significa artesanal 
Resposta ""NÃO"" significa produção em série (industrial)"
4,"FLUXO EXPRESSO (BAIXO RISCO)

- Se a resposta for “NÃO"" e  área menor ou igual a 1250 m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13). 

- Se a resposta for “SIM” e área menor ou igual a 1250 m², enquadrar com o segundo enquadramento disponível.


FLUXO EXPRESSO (MÉDIO RISCO)

- Se a resposta for “NÃO"" e área superior a 1250 m²  enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13).

- Se a resposta for “SIM” e área superior a 1250 m² ,  enquadrar com o segundo enquadramento disponível.


FLUXO SEMIEXPRESSO (MÉDIO RISCO)

-Se a resposta for “SIM” e o tipo de espaço for “GALPÃO”, ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, enquadrar com o segundo enquadramento disponível.

- Se a resposta for “NÃO"" e o tipo de espaço “GALPÃO”, ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13).",ATUALIZADA EM 21/07/2026
5,"Fluxo Expresso 

- Se a resposta for “NÃO” na pergunta 11 e com área menor ou igual a 1250 m² enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13). (BAIXO RISCO)

- Se a resposta for ""NÃO"" na pergunta 11 e com área superior a 1.250m², registrar a resposta do requerente, enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13). (MÉDIO RISCO)

Fluxo Semiexpresso

-  Se a resposta for “SIM”  na pergunta 11, enquadrar com  o segundo enquadramento disponível e remeter para crítica do analista. (MÉDIO RISCO)/ ALTO RISCO SE ENQUADRADO COMO ID

- Se a resposta for “SIM” na pergunta 11 e   o tipo de espaço  “GALPÃO”, ""EDIFICAÇÃO RESIDENCIAL""“CONTAINER”, enquadrar com  o segundo enquadramento disponível e remeter para crítica do analista. (MÉDIO RISCO)/ ALTO RISCO SE ENQUADRADO COMO ID

-  Se a resposta for ""NÃO"" na pergunta 11  e  tipo de espaço  “GALPÃO”, ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13), registrar a resposta do requerente e remeter para crítica do analista. (MÉDIO RISCO)","Os fluxos da antiga REGRA 62 passaram para a REGRA 05 em 12/04/2024

Quando respondido ""SIM"", e o enquadramento/ subcategoria de uso for ID, a atividade é classificado como de Alto Risco. 


ATUALIZADA EM 21/07/2026"
6,"Se a resposta for ""NÃO"" na pergunta 2, seguir o fluxo descrito abaixo:

Fluxo Expresso

- Se a resposta for “NÃO” na pergunta 2 e com área menor ou igual a 1.250m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13). (BAIXO RISCO)

- Se a resposta for ""NÃO"" na pergunta 2  e com área superior a 1.250m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13).  (MÉDIO RISCO)


Fluxo Semiexpresso 

- Se a resposta for ""NÃO"" na pergunta 2 e o tipo de espaço “GALPÃO”, ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, registrar a resposta do requerente e remeter para crítica do analista, enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13). (MÉDIO RISCO)",ATUALIZADA EM 21/07/2026: DESMEMBRAMENTO DA ANTIGA REGRA 73
7,"Se a resposta for ""SIM"" na pergunta 2, exibir a pergunta 3 e seguir o fluxo descrito abaixo:


Fluxo Expresso

- Se a resposta for “SIM” na pergunta 3 e com área menor ou igual a 1.250 m², enquadrar como “Confecção artesanal de bebidas e comidas” (código LOUOS –07.09.02). (BAIXO RISCO)

- Se a resposta for ""SIM"" na pergunta 3  com área superior a 1.250m² e enquadrar como “Confecção artesanal de bebidas e comidas” (código LOUOS –07.09.02). (MÉDIO RISCO)



Fluxo Semiexpresso

- Se a resposta for ""SIM"" na pergunta 3 e tipo de espaço  “GALPÃO"", ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, registrar a resposta do requerente e remeter para crítica do analista, enquadrar como “Confecção artesanal de bebidas e comidas” (código LOUOS –07.09.02). (MÉDIO RISCO)

- Se a resposta for ""NÃO na pergunta 3 e tipo de espaço  “GALPÃO"", ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, registrar a resposta do requerente e remeter para crítica do analista, enquadrar como 09.02.02 ou 09.02.03 ou 09.02.04 ou 09.02.24 ou 09.02.30 ou 09.02.31 ou 09.02.32 ou 09.02.34 a depender da CNAE solicitada. (ALTO RISCO)

- Se a resposta for “NÃO” na pergunta 3 com área menor ou igual a 1.250 m², registrar a resposta do requerente e remeter para crítica do analista, enquadrar como 09.02.02 ou 09.02.03 ou 09.02.04 ou 09.02.24 ou 09.02.30 ou 09.02.31 ou 09.02.32 ou 09.02.34 a depender da CNAE solicitada.(ALTO RISCO)

- Se a resposta for ""NÃO"" na pergunta 3 com área superior a 1.250m²  e registrar a resposta do requerente e remeter para crítica do analista, enquadrar como 09.02.02 ou 09.02.03 ou 09.02.04 ou 09.02.24 ou 09.02.30 ou 09.02.31 ou 09.02.32 ou 09.02.34 a depender da CNAE solicitada. (ALTO RISCO)","ATUALIZADA EM 21/07/2026: DESMEMBRAMENTO DA ANTIGA REGRA 73

Regra para atividades que podem ser artesanal ou industrial 
Resposta ""SIM"" significa artesanal 
Resposta ""NÃO"" significa produção em série (industrial)"
8,"- Se for Edificação residencial (casa/apartamento) e solicitadas as atividades CNAEs 4713-0/05, 4713-0/05, 4754-7/01, 4785-7/99, 5320-2/01, 5611-2/03, 5611-2/04, 6619-3/05 ou 8020-0/02, exibir a mensagem a seguir e não permitir o prosseguimento do cadastro do processo:

""A (s) atividade (s) solicitada (s) não é (são) permitida(s) em imóvel residencial conforme Decreto Municipal nº 29.987/2018 que trata do funcionamento e estabelecimento de microempresas, empresas de pequeno e MEIs nas residências de seus titulares"". 


Fluxo Expresso (BAIXO RISCO)

- Se a resposta for “NÃO” e área menor ou igual a 1.250 m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13).


Fluxo Expresso (MÉDIO RISCO)

- Se a resposta for “SIM” e área menor ou igual a 1.250 m², enquadrar com o segundo enquadramento disponível.

- Se a resposta for ""NÃO"" e área superior a 1.250m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13). 

- Se a resposta for ""SIM"" e área superior a 1.250m²,  enquadrar com o segundo enquadramento disponível. 


Fluxo Semiexpresso  (MÉDIO RISCO)

- Se a resposta for ""NÃO"" e o imóvel for “EDIFICAÇÃO RESIDENCIAL""e solicitadas as atividades CNAEs 5620-1/04 e 9002-7/02, enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13).

- Se a resposta for ""SIM"" e o imóvel for “EDIFICAÇÃO RESIDENCIAL"" e solicitadas as atividades CNAEs 5620-1/04 e 9002-7/02, enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13).

-Se a resposta for ""NÃO"" e tipo de espaço “GALPÃO"", “CONTAINER”, registrar a resposta do requerente e remeter para crítica do analista, enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13).

-Se a resposta for ""SIM"" e  tipo de espaço “GALPÃO"", “CONTAINER”, registrar a resposta do requerente e remeter para crítica do analista, enquadrar com o segundo enquadramento disponível.",ATUALIZADA EM 21/07/2026
9,"* Se a solicitação for em Edificação Residencial  exibir a mensagem a seguir e não permitir o prosseguimento do cadastro do processo:

""A atividade solicitada não é permitida em imóvel residencial conforme Decreto Municipal nº 29.987/2018 que trata do funcionamento e estabelecimento de microempresas, empresas de pequeno e MEIs nas residências de seus titulares"". 

Se na pergunta 1 for selecionada a opção 1, exibir a notificação a seguir e não permitir o prosseguimento do cadastro do processo: 

“A SEDUR não licencia serviços ambulantes de alimentação, o requerente deverá solicitar licença junto a SEMOP (Secretaria Municipal de Ordem Pública).”


Se na pergunta 1 for selecionada a opção 2 e na pergunta 11 for respondido “SIM”, exibir a informação abaixo e não permitir o prosseguimento do cadastro do processo:

 ""A SEDUR licencia apenas o escritório para a atividade de Food Truck. Deverá solicitar licença específica no órgão competente para o local do funcionamento"".


Fluxo Expresso

Se na pergunta 1 for selecionada a opção 3 e a resposta for “NÃO” na pergunta 11 e  com área igual ou menor a 1250m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13).  (BAIXO RISCO)

- Se na pergunta 1 for selecionada a opção 3 e a resposta for “NÃO” na pergunta 11 e com área superior a 1250m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13).  (MÉDIO RISCO)



Fluxo Semiexpresso (MÉDIO RISCO)

Se na pergunta 1 selecionada a opção 2 e na pergunta 11 for respondido “NÃO”, enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13) e remeter para crítica do analista.


- Se na pergunta 1 for selecionada a opção 3 e a resposta for “SIM” na pergunta 11 e com área menor ou igual 1250m² , enquadrar com o segundo enquadramento disponível. 

- Se na pergunta 1 for selecionada a opção 3 e a resposta for “SIM” na pergunta 11 e com área superior a 1250m² , enquadrar com o segundo enquadramento disponível. 


- Se na pergunta 1 for selecionada a opção 3 e a resposta for “NÃO” na pergunta 11 e  tipo de espaço “GALPÃO"", ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, registrar a resposta do requerente e remeter para crítica do analista e se a resposta for “NÃO” enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13).

- Se na pergunta 1 for selecionada a opção 3 e a resposta for “SIM” na pergunta 11 e  tipo de espaço “GALPÃO"", ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, registrar a resposta do requerente e remeter para crítica do analista e se a resposta for “NÃO” enquadrar com o segundo enquadramento disponível.",ATUALIZADA EM 21/07/2026
10,"Atividades com um único enquadramento independente da resposta a pergunta 11, enquadrar com o enquadramento disponível para cada uma delas.

Fluxo Expresso (BAIXO RISCO) 

- Se a resposta for “SIM” e área menor ou igual a 1.250m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13). 

-  Se a resposta for “NÃO” e a área menor ou igual a 1.250m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13). 


Fluxo Expresso (MÉDIO RISCO)

- Se a resposta for “SIM” e área superior a 1.250m², enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13). 

-  Se a resposta for “NÃO” e  área superior a 1.250m² , enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13). 


Fluxo Semiexpresso (MÉDIO RISCO)

- Se a resposta for “SIM”  e tipo de espaço “GALPÃO"", ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13), registrar a resposta do requerente e remeter para crítica do analista.

-  Se a resposta for “NÃO” e tipo de espaço “GALPÃO"", ""EDIFICAÇÃO RESIDENCIAL"" “CONTAINER”, enquadrar como “Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial” (código LOUOS – 07.12.13), registrar a resposta do requerente e remeter para crítica do analista.","ANTIGA REGRA 68 


ATUALIZADA EM 21/07/2026"
