cnae,descricao,condicionantes,risco_municipal_unificado
0111-3/01,Cultivo de arroz,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
0111-3/02,Cultivo de milho,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
0111-3/03,Cultivo de trigo,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
0111-3/99,Cultivo de outros cereais não especificados anteriormente,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
0112-1/01,Cultivo de algodão herbáceo,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
0112-1/02,Cultivo de juta,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
0113-0/00,Cultivo de cana-de- açúcar,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
0114-8/00,Cultivo de fumo,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
0115-6/00,Cultivo de soja,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
