CNAE,Descrição do CNAE,Fator Multiplicador,Risco,Há condicionante?,Condicionante,Pergunta relacionada à condicionante,Pergunta complementar (direcionadora),Autorizado para Escritório Virtual?,Autorizado para MEI?,Macroárea,Exige RT?,Exige PBA?,Documentação específica por CNAE,Base Legal documentação específica por CNAE
1031-7/00,FABRICAÇÃO DE CONSERVAS DE FRUTAS,Não,Baixo,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1032-5/01,FABRICAÇÃO DE CONSERVAS DE PALMITO,Não,Alto,Não,−,−,−,Não,Não,Alimentos,Sim,,,
1032-5/99,"FABRICAÇÃO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO",Não,Baixo,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1043-1/00,FABRICAÇÃO DE MARGARINA E OUTRAS GORDURAS VEGETAIS E DE ÓLEOS NÃO COMESTÍVEIS DE ANIMAL,Não,Médio,Sim,"Desde que o produto fabricado não seja comestível. Caso seja, será considerado Alto Risco.",O produto fabricado será comestível?,−,Não,Não,Alimentos,"Sim, caso seja Alto Risco",,,
1053-8/00,FABRICAÇÃO DE SORVETES E OUTROS GELADOS COMESTÍVEIS,Não,Alto,Não,−,−,−,Não,Não,Alimentos,Sim,,,
1061-9/01,BENEFICIAMENTO DE ARROZ,Não,Médio,Sim,"Desde que o beneficiamento do produto não seja industrial. Caso seja, será considerado Alto Risco.",O beneficiamento do produto será industrial?,−,Não,Não,Alimentos,"Sim, caso seja Alto Risco",,,
1061-9/02,FABRICAÇÃO DE PRODUTOS DO ARROZ,Não,Alto,Não,−,−,−,Não,Sim,Alimentos,Sim,,,
1062-7/00,MOAGEM DE TRIGO E FABRICAÇÃO DE DERIVADOS,Não,Alto,Não,−,−,−,Não,Não,Alimentos,Sim,,,
1063-5/00,FABRICAÇÃO DE FARINHA DE MANDIOCA E DERIVADOS,Não,Médio,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1064-3/00,"FABRICAÇÃO DE FARINHA DE MILHO E DERIVADOS, EXCETO ÓLEO DE MILHO",Não,Médio,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1065-1/01,FABRICAÇÃO DE AMIDOS E FÉCULAS DE VEGETAIS,Não,Médio,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1069-4/00,"MOAGEM E FABRICAÇÃO DE PRODUTOS DE ORIGEM VEGETAL, NÃO ESPECIFICADOS ANTERIORMENTE",Não,Médio,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1071-6/00,FABRICAÇÃO DE AÇÚCAR EM BRUTO,Não,Médio,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Sim,Alimentos,"Sim, caso seja Alto Risco",,,
1072-4/01,FABRICAÇÃO DE AÇÚCAR DE CANA REFINADO,Não,Alto,Não,−,,−,Não,Não,Alimentos,Sim,,,
1081-3/01,BENEFICIAMENTO DE CAFÉ,Não,Médio,Sim,"Desde que o resultado do exercício da atividade econômica não seja diferente de produto artesanal. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade econômica será diferente de produto artesanal?,−,Não,Não,Alimentos,"Sim, caso seja Alto Risco",,,
1081-3/02,TORREFAÇÃO E MOAGEM DE CAFÉ,Não,Alto,Não,−,−,−,Não,Não,Alimentos,Sim,,,
1091-1/01,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Não,Alto,Não,−,−,−,Não,Sim,Alimentos,Sim,,,
